strain_name	species	division	class	habitat	strain_link	species_link	scientific_name	taxon_id	url_slug
K-0540	Microcystis aeruginosa	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-0540	https://norcca.scrol.net/species/microcystis-aeruginosa	Microcystis aeruginosa	146558	k-0540
K-0544	Dolichospermum lemmermannii	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-0544	https://norcca.scrol.net/species/dolichospermum-lemmermannii	Dolichospermum lemmermannii	625374	k-0544
K-0545	Microcystis sp.	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-0545	https://norcca.scrol.net/species/microcystis-sp	Microcystis	146557	k-0545
K-0546	Planktothrix cf. agardhii	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/k-0546	https://norcca.scrol.net/species/planktothrix-cf-agardhii	Planktothrix cf. agardhii	146552	k-0546
K-0557	Nephroselmis pyriformis	Chlorophyta	Nephroselmidophyceae	Marine	https://norcca.scrol.net/strain/k-0557	https://norcca.scrol.net/species/nephroselmis-pyriformis	Nephroselmis pyriformis	134541	k-0557
K-0559	Coelastrum sp.	Chlorophyta	Chlorophyceae	Freshwater	https://norcca.scrol.net/strain/k-0559	https://norcca.scrol.net/species/coelastrum-sp	Coelastrum	160550	k-0559
K-0562	Haptolina ericina	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0562	https://norcca.scrol.net/species/haptolina-ericina	Haptolina ericina	624976	k-0562
K-0563	Prymnesium kappa	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0563	https://norcca.scrol.net/species/prymnesium-kappa	Prymnesium kappa	624968	k-0563
K-0569	Planktothrix rubescens	Cyanobacteria	Cyanophyceae	Freshwater, Metalimnion 7,5 m	https://norcca.scrol.net/strain/k-0569	https://norcca.scrol.net/species/planktothrix-rubescens	Planktothrix rubescens	572064	k-0569
K-0571	Planktothrix rubescens	Cyanobacteria	Cyanophyceae	Freshwater, Metalimnion 7,5 m	https://norcca.scrol.net/strain/k-0571	https://norcca.scrol.net/species/planktothrix-rubescens	Planktothrix rubescens	572064	k-0571
K-0574	Planktothrix rubescens	Cyanobacteria	Cyanophyceae	Freshwater, Epilimnion	https://norcca.scrol.net/strain/k-0574	https://norcca.scrol.net/species/planktothrix-rubescens	Planktothrix rubescens	572064	k-0574
K-0575	Planktothrix rubescens	Cyanobacteria	Cyanophyceae	Freshwater, Epilimnion	https://norcca.scrol.net/strain/k-0575	https://norcca.scrol.net/species/planktothrix-rubescens	Planktothrix rubescens	572064	k-0575
K-0576	Planktothrix rubescens	Cyanobacteria	Cyanophyceae	Freshwater, Epilimnion	https://norcca.scrol.net/strain/k-0576	https://norcca.scrol.net/species/planktothrix-rubescens	Planktothrix rubescens	572064	k-0576
K-0581	Chattonella subsalsa	Ochrophyta	Raphidophyceae	Marine	https://norcca.scrol.net/strain/k-0581	https://norcca.scrol.net/species/chattonella-subsalsa	Chattonella subsalsa	246590	k-0581
K-0582	Brachiomonas submarina	Chlorophyta	Chlorophyceae	Marine	https://norcca.scrol.net/strain/k-0582	https://norcca.scrol.net/species/brachiomonas-submarina	Brachiomonas submarina	345437	k-0582
K-0583	Vaucheria bursata s.l.	Ochrophyta	Xanthophyceae	FreshWater, Ditch	https://norcca.scrol.net/strain/k-0583	https://norcca.scrol.net/species/vaucheria-bursata-sl	Vaucheria bursata s.l.	240524	k-0583
K-0585	Chrysochromulina cymbium	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0585	https://norcca.scrol.net/species/chrysochromulina-cymbium	Chrysochromulina cymbium	115114	k-0585
